City,Location,URL
Goa,Salim Ali Bird Sanctuary,"https://www.google.com/maps/place/Dr.+Salim+Ali+Bird+Sanctuary/@15.513052,73.8678405,17z/data=!4m8!3m7!1s0x3bbfbf753f264d61:0xd327e1caf3767979!8m2!3d15.5130468!4d73.8704154!9m1!1b1!16s%2Fm%2F02q7tjc?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Tropical Spice Plantation,"https://www.google.com/maps/place/Tropical+Spice+Plantation/@15.4527819,74.0081629,17z/data=!4m8!3m7!1s0x3bbfbab93667b5d1:0x63aaf2d1eae29021!8m2!3d15.4527767!4d74.0107378!9m1!1b1!16s%2Fg%2F11bwkdt4ts?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Bondla Wildlife Sanctuary,"https://www.google.com/maps/place/Bondla+Wildlife+Sanctuary/@15.4401156,74.1038027,17z/data=!4m8!3m7!1s0x3bbfa4566f7c32d5:0xc4ee76bccbbe058e!8m2!3d15.4401104!4d74.1063776!9m1!1b1!16zL20vMDhfbmhy?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"Fort William, India","https://www.google.com/maps/place/Vijay+Durg/@22.5587704,88.3351895,17z/data=!4m8!3m7!1s0x3a0277719d7cdd7b:0x24deb10c464eae56!8m2!3d22.5587655!4d88.3377644!9m1!1b1!16zL20vMDNud3M1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,James Prinsep Monument,"https://www.google.com/maps/place/James+Prinsep+Monument/@22.5552877,88.328595,17z/data=!4m8!3m7!1s0x3a0277e8759cc711:0xd07fc37f36f0e58f!8m2!3d22.5552828!4d88.3311699!9m1!1b1!16s%2Fm%2F0hr7t8c?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Howrah Bridge,"https://www.google.com/maps/place/Howrah+Bridge/@22.5850482,88.3418149,16z/data=!4m8!3m7!1s0x3a0277bfbb1eeb1b:0xc9840aaa8c411199!8m2!3d22.5851545!4d88.3468342!9m1!1b1!16zL20vMDV0czV5?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Jorasanko Thakurbari,"https://www.google.com/maps/place/Jorasanko+Thakurbari/@22.5849004,88.3566538,17z/data=!4m8!3m7!1s0x3a0277b5ca342c5d:0x422d938a2d0005ec!8m2!3d22.5848955!4d88.3592287!9m1!1b1!16zL20vMDQ3NzVt?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Science City - Kolkata,"https://www.google.com/maps/place/Science+City/@22.540143,88.3934815,17z/data=!4m8!3m7!1s0x3a0276a208cb6793:0x676bbf22d04354e8!8m2!3d22.5401381!4d88.3960564!9m1!1b1!16s%2Fm%2F0c018qc?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,M.P. Birla Planetarium,"https://www.google.com/maps/place/M.P.+Birla+Planetarium/@22.545592,88.3448092,17z/data=!4m8!3m7!1s0x3a02771466bc8ae3:0xdfa2377553ae8f0c!8m2!3d22.5455871!4d88.3473841!9m1!1b1!16zL20vMDdzM25r?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Indian Museum,"https://www.google.com/maps/place/Indian+Museum/@22.5578907,88.3485519,17z/data=!4m8!3m7!1s0x3a02771160347adf:0x9fd70619f94d0bac!8m2!3d22.5578858!4d88.3511268!9m1!1b1!16zL20vMDM3NGtu?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
