City,Location
Delhi,Connaught Place
Delhi,Red Fort
Delhi,Rajghat (Mahatma Gandhi memorial)
Delhi,Agrasen ki Baoli
Delhi,Jantar Mantar
Delhi,Rashtrapati Bhavan
Delhi,India Gate
Delhi,"Safdarjung Tomb, Delhi"
Delhi,Humayun’s Tomb
Delhi,Qutub Minar
Delhi,Feroz Shah Kotla Fort
Delhi,Hauz Khas Village complex (Deer park)
Delhi,Purana Quila
Delhi,Tughlaqabad Fort
Delhi,Mehrauli Archaeological Park
Delhi,Jama Masjid
Delhi,Akshardham temple
Delhi,Dargah Nizamuddin Aulia
Delhi,Lotus Temple
Delhi,ISKCON Temple
Delhi,Hanuman Mandir Karol bagh
Delhi,Gurudwara Sri Bangla Sahib
Delhi,Shri Laxmi Narayan Temple (Birla Mandir)
Delhi,Chattarpur Mandir
Delhi,Tibetan Monastery (Majnu ka tila)
Delhi,"National Science Centre, Delhi"
Delhi,National Crafts Museum & Hastkala Academy
Delhi,Shankar's International Dolls Museum
Delhi,"National Museum, New Delhi"
Delhi,National Rail Museum
Delhi,Sulabh International Museum Of Toilets
Delhi,Sanskriti Kendra
Delhi,"Indira Gandhi Memorial Museum, Delhi"
Delhi,Nehru Planetarium
Delhi,Prime minister Museum & Library
Delhi,Museum of Illusions
Delhi,National Zoological Park
Delhi,Okhla Bird Sanctuary
Delhi,Central Ridge Forest
Delhi,Lodhi Garden
Delhi,Sanjay Van
Delhi,The Garden of Five Senses
Delhi,Indraprastha Park
Delhi,Nehru Park
Goa,Dabolim Airport (Goa International Airport)
Goa,Vasco da Gama Railway Station
Goa,Madgaon Junction
Goa,Madgaon Bus stand
Goa,Karmali Railway Station
Goa,Mopa Airport (Manohar International Airport)
Goa,Thivim Railway Station
Goa,Panjim Bus Stand
Goa,Mapusa Bus Stand
Goa,Arambol Beach
Goa,Morjim Beach
Goa,Vagator Beach
Goa,Anjuna Beach
Goa,Baga Beach
Goa,Calangute Beach
Goa,Colva Beach
Goa,Palolem Beach
Goa,Chapora river
Goa,Mandovi River
Goa,Zuari River
Goa,Salaulim Dam
Goa,Dudhsagar Falls
Goa,Harvalem Waterfalls
Goa,Dolphin point
Goa,Immaculate Conception Church
Goa, Se Cathedral & Church of St. Francis of Assisi
Goa,Basilica of Bom Jesus
Goa,Shree Mangesh temple
Goa,Shree Shantadurga Temple
Goa,Aguada Fort
Goa,Chapora Fort
Goa,Reis Magos Fort
Goa,Cabo de Rama Fort
Goa,Goa State Museum
Goa,Archaeological Museum of Goa
Goa,Goa Chitra Museum
Goa,Indian Naval Aviation Museum
Goa,Museum Of Goa
Goa,Casino on cruise
Goa,Tito's Lane
Goa,Anjuna flea market
Goa,Cotigao Wildlife Sanctuary
Goa,Mollem National Park & Bhagwan Mahavir Wildlife Sanctuary
