place_name,place_url,reviews_count,scraped_on
Shivagange,"https://www.google.com/maps/place/Shivagange/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae3fd22d79ff07:0x524e0e0a9d49a8f!8m2!3d12.9449771!4d77.4883921!9m1!1b1!16s%2Fg%2F11k52d8632?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",0,2025-05-02 20:40:55
Dodda Aalada Mara,"https://www.google.com/maps/place/Dodda+Aalada+Mara/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae38347e583747:0x99cd5746ed00d973!8m2!3d12.909488!4d77.3956744!9m1!1b1!16zL20vMDluMG05?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:41:19
Wonderla Amusement Park,"https://www.google.com/maps/place/Wonderla+Amusement+Park,+Bengaluru/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae47c7ffab735b:0x5e52a4e8d0a84438!8m2!3d12.8349095!4d77.4009409!9m1!1b1!16s%2Fg%2F1w15xwpd?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:42:02
Kempegowda International Airport Bengaluru,"https://www.google.com/maps/place/Kempegowda+International+Airport+Bengaluru/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae1cfe75446265:0x296c70e9a129418e!8m2!3d13.198909!4d77.7068926!9m1!1b1!16zL20vMGJmNm15?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:42:45
Rajghat (Mahatma Gandhi memorial),"https://www.google.com/maps/place/Rajghat+Memorial/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfcdafe80dca3:0x1a5978757d31b6ef!8m2!3d28.6406214!4d77.2495002!9m1!1b1!16zL20vMDd3MjU1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:43:29
Agrasen ki Baoli,"https://www.google.com/maps/place/Ugrasen+ki+Baoli/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfd3313d868d9:0x9084a965630af01b!8m2!3d28.626062!4d77.2250369!9m1!1b1!16s%2Fm%2F027z5xq?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:44:13
Jantar Mantar,"https://www.google.com/maps/place/Jantar+Mantar/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfd4a694fc49b:0xa24a6ec962781b0c!8m2!3d28.6270547!4d77.2166267!9m1!1b1!16zL20vMDdyNmQ3?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:44:58
Rashtrapati Bhavan,"https://www.google.com/maps/place/Rashtrapati+Bhavan/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce2a99b6f9fa7:0x83a25e55f0af1c82!8m2!3d28.6143478!4d77.19943!9m1!1b1!16zL20vMDMxMGoz?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:45:39
"Safdarjung Tomb, Delhi","https://www.google.com/maps/place/Safdarjung+Tomb,+Delhi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce291e9cdc555:0xcd09511bfd9337ec!8m2!3d28.5894156!4d77.2106219!9m1!1b1!16s%2Fm%2F02q8l_h?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:46:21
Humayun's Tomb,"https://www.google.com/maps/place/Humayun%E2%80%99s+Tomb/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce31ce8460ba7:0xb9f1ba2d3bdfa80d!8m2!3d28.5932848!4d77.2507492!9m1!1b1!16zL20vMDR3OWMy?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:47:10
Feroz Shah Kotla Fort,"https://www.google.com/maps/place/Feroz+Shah+Kotla+Fort/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfcd722979b5b:0x780ad31b2b00daf8!8m2!3d28.6349159!4d77.2433053!9m1!1b1!16zL20vMDZtNmdm?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:47:55
Hauz Khas Village complex (Deer park),"https://www.google.com/maps/place/Hauz+Khas+Complex/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390d1d8b8dc530b1:0x3c8230231f1d2d55!8m2!3d28.5530287!4d77.1930605!9m1!1b1!16zL20vMDhwenlk?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:48:40
Purana Quila,"https://www.google.com/maps/place/Purana+Quila/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce3214b3b6771:0x139279610ab2ccb3!8m2!3d28.6095744!4d77.2437371!9m1!1b1!16zL20vMDZuZzRw?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:49:24
Tughlaqabad Fort,"https://www.google.com/maps/place/Tughlaqabad+Fort+Delhi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce16b23174dfd:0xeedd8309f558c1d3!8m2!3d28.510917!4d77.2623537!9m1!1b1!16zL20vMDhtcmt0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:50:10
